original_row_num,url,crawl_time,crawl_status,error_msg,api,package,language,deprecated_in,removed_in,replaced_by,change_type,reason,source
56,https://react.dev/reference/react/useSyncExternalStore,2025-10-21 15:35:32,success,,useSyncExternalStore,react,JavaScript,,,,,,https://reactjs.org/docs/hooks-reference.html#usesyncexternalstore
61,https://react.dev/reference/react-dom/components/input,2025-10-21 15:35:37,success,,useOptimistic,react,JavaScript,,,,Behavior Change,Introduced to provide better handling of optimistic UI updates in React components.,https://react.dev/docs/hooks-reference
60,https://react.dev/reference/react-dom/components/form,2025-10-21 15:35:36,success,,useActionState,react,JavaScript,,,,Behavior Change,"Provides a new way to handle and display errors from server functions in forms, offering better progress-enhancement and error handling during submission.",https://react.dev/docs/reference
62,https://react.dev/reference/react-dom/components/option,2025-10-21 15:35:39,success,,useOptimistic,react,JavaScript,,,,,,https://reactjs.org/docs/hooks-reference.html#useOptimistic
63,https://react.dev/reference/react-dom/components/progress,2025-10-21 15:35:40,success,,<progress>,react-dom,JavaScript,,,,Behavior Change,"Introduction of support for additional props (`max`, `value`) in the `<progress>` component to allow developers greater customization when displaying progress indicators.",https://react.dev/docs/react-dom-api
65,https://react.dev/reference/react-dom/components/textarea,2025-10-21 15:35:41,success,,experimental_taintObjectReference,react,JavaScript,,,,Behavior Change,This API is marked as experimental and only available in the Experimental version of React.,https://react.dev/docs/reference
64,https://react.dev/reference/react-dom/components/select,2025-10-21 15:35:40,success,,experimental_taintObjectReference,react,JavaScript,,,,API Introduction,This feature has been introduced in the Experimental version of React,https://reactjs.org/docs/react-api.html
66,https://react.dev/reference/react-dom/components/link,2025-10-21 15:35:41,success,,useEffectEvent,react,JavaScript,,,,New API,Provides a mechanism to define and use effects dependent on external events.,https://react.dev/reference/useEffectEvent
67,https://react.dev/reference/react-dom/components/meta,2025-10-21 15:35:44,success,,,,,,,,,,
68,https://react.dev/reference/react-dom/components/script,2025-10-21 15:35:44,success,,experimental_taintObjectReference,react,JavaScript,,,,New API Introduction,This feature is introduced to provide experimental capabilities in managing object references.,https://reactjs.org/docs/reference-react
70,https://react.dev/reference/react-dom/components/title,2025-10-21 15:35:46,success,,useOptimistic,react@19.2,JavaScript/React,,,,,,https://react.dev/apis/react@19.2#useOptimistic
69,https://react.dev/reference/react-dom/components/style,2025-10-21 15:35:45,success,,useOptimistic,react,JavaScript,,,,API Addition,"This API was added to enhance state management in React applications, supporting optimistic UI updates.",https://reactjs.org/docs/hooks-reference.html#useoptimistic
51,https://react.dev/reference/react/useMemo,2025-10-21 15:35:25,success,,useMemo,react,JavaScript,,,,Performance Optimization,"React Compiler automatically memoizes values and functions, thus reducing the need for manual calls to useMemo.",https://reactjs.org/docs/hooks-reference.html#usememo
